operator,new
PAUL RANKIN,paul_rankin
PAUL RANKIN,paul_rankin
PAUL RANKIN,paul_rankin
PAUL RANKIN,paul_rankin
R & K CONSTRUCTION CO INC,r_k_construction
F R VANDENBARK COAL CO,f_r_vandenbark_coal
DONALD STOTTS,donald_stotts
CAMBRIDGE COAL CO,cambridge_coal
CAMBRIDGE COAL CO,cambridge_coal
WARREN C MOORE,warren_c_moore
C L KISHLER COAL & CLAY CO,c_l_kishler_coal_clay
C L KISHLER COAL & CLAY CO,c_l_kishler_coal_clay
STARR MINING CO,starr_mining
STARR MINING CO,starr_mining
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
NORTH AMERICAN REFRACTORIES CO,north_american_refractories
C & C COAL CO INC,c_coal
C & C COAL CO INC,c_coal
OHIO COAL CONSTRUCTION CORP,ohio_coal_construction
OHIO COAL CONSTRUCTION CORP,ohio_coal_construction
OHIO POWER CO,ohio_power
BOICH MINING CO,boich_mining
BOICH MINING CO,boich_mining
BOICH MINING CO,boich_mining
ORANGE COAL CO,orange_coal
ORANGE COAL CO,orange_coal
ORANGE COAL CO,orange_coal
WELLS MINING CO,wells_mining
WILMOT MINING CO,wilmot_mining
WILMOT MINING CO,wilmot_mining
WILMOT MINING CO,wilmot_mining
,nan
,nan
,nan
ALEXANDER BROTHERS INC,alexander_brothers
ALEXANDER BROTHERS INC,alexander_brothers
STOTTS BROS,stotts_bros
STOTTS BROS,stotts_bros
STOTTS BROS,stotts_bros
STOTTS BROS,stotts_bros
STARR MINING CO,starr_mining
STARR MINING CO,starr_mining
THE STERLING MINING CORP,the_sterling_mining
Rosebud Mining Co.,rosebud_mining
Rosebud Mining Co.,rosebud_mining
Rosebud Mining Co.,rosebud_mining
STATE LINE RESOURCES INC,state_line_resources
