operator,new
"E.M. Brown, Inc.",em_brown
Benjamin Coal Co.,benjamin_coal
Shade Mining Co.,shade_mining
"Glacial Minerals, Inc.",glacial_minerals
"E.M. Brown, Inc.",em_brown
Bill Turner Enterprises,bill_turner_enterprises
W.C. Bowman,wc_bowman
"James M. Stott Coal Co., Inc.",james_m_stott_coal
Glen Irvan Corp.,glen_irvan
"Moshannon Falls Mining Co., Inc.",moshannon_falls_mining
Teeco Coal Co.,teeco_coal
"Malinski Mining Co., Inc.",malinski_mining
Glen Irvan Corp.,glen_irvan
"Cambria Mills Coal Co., Inc.",cambria_mills_coal
"Cambria Mills Coal Co., Inc.",cambria_mills_coal
"Robert T. Noel Coal, Inc.",robert_t_noel_coal
Thompson Brothers Coal Co.,thompson_brothers_coal
T.L.H. Coal Co.,tlh_coal
TLH Coal Co.,tlh_coal
"Power Operating Co., Inc.",power_operating
"Power Operating Co., Inc.",power_operating
E.P. Bender Coal Co.,ep_bender_coal
"Antrim Mining, Inc.",antrim_mining
"Sky Haven Coal, Inc.",sky_haven_coal
"N.S.M. Coals, Inc.",nsm_coals
"PBS Coals,Inc.",pbs_coalsinc
"PBS Coals,Inc.",pbs_coalsinc
Doverspike Brothers Coal Co.,doverspike_brothers_coal
Doverspike Brothers Coal Co.,doverspike_brothers_coal
"Purco Coal, Inc.",purco_coal
Johnson & Morgan Coal Co.,johnson_morgan_coal
"AME Enterprises, Inc",ame_enterprises
Doverspike Brothers Coal Co.,doverspike_brothers_coal
"Lancaster Resources, Ltd.",lancaster_resources_ltd
"Thomas Coal Co., Inc.",thomas_coal
"River Hill Coal Co.,Inc.",river_hill_coal_coinc
Al Hamilton Contracting Co.,al_hamilton_contracting
Benjamin Coal Co.,benjamin_coal
"M.B. Energy, Inc.",mb_energy
"TDK Coal Sales, Inc.",tdk_coal_sales
"M.B. Energy, Inc.",mb_energy
"M.B. Energy, Inc.",mb_energy
"M.B. Energy, Inc.",mb_energy
"M.B. Energy, Inc.",mb_energy
"McDonald Land & Mining Co., Inc.",mcdonald_land_mining
Thomas Coal Co. Inc.,thomas_coal
"McDonald Land & Mining Co., Inc.",mcdonald_land_mining
"McDonlad Land & Mining Co., Inc.",mcdonlad_land_mining
"McDonald Land & Mining Co., Inc.",mcdonald_land_mining
"Thomas Coal Co., Inc.",thomas_coal
"Bernice Mining & Contracting, Inc.",bernice_mining_contracting
York Resources Corp.,york_resources
"AME Enterprises, Inc.",ame_enterprises
"M.B. Energy, Inc.",mb_energy
Pennsylvania Energy Corp.,pennsylvania_energy
"N.B. Kletzli Jr.,Coal & Development Co.",nb_kletzli_jrcoal_development
American Development Co.,american_development
"Commonwealth Coals, Inc.",commonwealth_coals
Windber High Standard Coal Co.,windber_high_standard_coal
Al Hamilton Contracting Co.,al_hamilton_contracting
"Tamburlin Bros. Coal Co., Inc.",tamburlin_bros_coal
Gene Richard Paving & Excavating,gene_richard_paving_excavating
Al Hamilton Contracting Co.,al_hamilton_contracting
Edmunds Contracting & Supply Co.,edmunds_contracting_supply
"Simca Mining, Inc.",simca_mining
Al Hamilton Contracting Co.,al_hamilton_contracting
Al Hamilton Contracting Co.,al_hamilton_contracting
Al Hamilton Contracting Co.,al_hamilton_contracting
"AME Enterprises, Inc.",ame_enterprises
Al Hamilton Contracting Co.,al_hamilton_contracting
Al Hamilton Contracting Co.,al_hamilton_contracting
"M.B. Energy, Inc.",mb_energy
Pengrove Mining Co. (Div. of Adobe Mining),pengrove_mining
"Seven Sisters Mining Co., Inc.",seven_sisters_mining
"Thomas Coal Co., Inc.",thomas_coal
"Thomas Coal Co., Inc.",thomas_coal
"Thomas Coal Co., Inc.",thomas_coal
"Delta Mining, Inc.",delta_mining
"Gray Mining Co., Inc.",gray_mining
Glen Irvan Corp.,glen_irvan
Al Hamlton Cont.,al_hamlton_cont
"Central Pennsylvania Coal Co., Inc.",central_pennsylvania_coal
"Fetterolf Mining, Inc.",fetterolf_mining
"River Hill Coal Co.,Inc.",river_hill_coal_coinc
Carl & Jewel Bartley,carl_jewel_bartley
D & M Mining Corp.,d_m_mining
"Sky Haven Coal, Inc.",sky_haven_coal
"Power Operating Co., Inc.",power_operating
"The Arcadia Co., Inc.",the_arcadia
Cambria Coal Co,cambria_coal
Cambria Coal Co.,cambria_coal
"E.M. Brown, Inc.",em_brown
"E.M. Brown, Inc.",em_brown
"Avery Coal Co., Inc.",avery_coal
"Larry D. Baumgardner, Larry D. Baumgardner Coal Co Inc",baumgardner_coal
Larry D. Baumgardner,larry_d_baumgardner
Earl M. Brown Co.,earl_m_brown
Bessemer Cement Co.,bessemer_cement
Bessemer Cement Co.,bessemer_cement
Cambria Coal Co.,cambria_coal
Senate Coal Mines Inc.,senate_coal_mines
Strishock Coal Co.,strishock_coal
Krach & Gearhart Coal Co.,krach_gearhart_coal
"Godin & Godin Coal, Inc.",godin_coal
Glen Irvan Coal Corp.,glen_irvan_coal
Windber High Standard Coal Co.,windber_high_standard_coal
"E.M. Brown, Inc.",em_brown
Daybrook Coal Co.,daybrook_coal
H & H Coal Co.,h_coal
Mill Run Contracting Inc.,mill_run_contracting
Coal Junction Coal Co.,coal
H & H Coal Co.,h_coal
"Gard Mining, Inc.",gard_mining
Mustang Coal & Contracting Corp.,mustang_coal_contracting
"Power Operating Co., Inc.",power_operating
Glen Irvan Corp,glen_irvan
Glen Irvan Corp.,glen_irvan
Glen Irvan Corp.,glen_irvan
Glen Irvan Corp.,glen_irvan
"L & J Energy Co., Inc.",l_j_energy
Benjamin Coal Co.,benjamin_coal
Benjamin Coal Co.,benjamin_coal
"Sky Haven Coal, Inc.",sky_haven_coal
Cooney Brothers Coal Co.,cooney_brothers_coal
"Kenneth K. Rishel & Sons, Inc.",kenneth_k_rishel_sons
"River Hill Coal Co., Inc.",river_hill_coal
"Amerikohl Mining, Inc.",amerikohl_mining
"Action Mining, Inc.",action_mining
"Falls Creek Energy Co., Inc.",falls_creek_energy
"Amerikohl Mining, Inc.",amerikohl_mining
"Amerikohl Mining, Inc.",amerikohl_mining
Kerry Coal Company,kerry_coal
"Amerikohl Mining, Inc.",amerikohl_mining
"Bell Resources, Inc.",bell_resources
The Rondell Co.,the_rondell
Buncic Coal Co.,buncic_coal
Soberdash Coal & Coke Co.,soberdash_coal_coke
Sycamore Tree Coal Co.,sycamore_tree_coal
"Adam Eidemiller, Inc.",adam_eidemiller
William K. Tedesco,william_k_tedesco
William K. Tedesco,william_k_tedesco
Esquire Fuel Co.,esquire_fuel
William Piccolomini,william_piccolomini
Menallen Coke Co.,menallen_coke
Edward Miller,edward_miller
Ruane-Arnold Coal Co.,ruanearnold_coal
Filiaggi Coal Co.,filiaggi_coal
Filiaggi Coal Co.,filiaggi_coal
Whyel Coal Co.,whyel_coal
Menallen Coke Co.,menallen_coke
Soberdash Coal & Coke Co.,soberdash_coal_coke
"RD Baughman Coal Co., Inc.",rd_baughman_coal
"M.F. Fetterolf Coal Co., Inc.",mf_fetterolf_coal
"Croner, Inc.",croner
W & M Coal Co.,w_m_coal
Pontorero & Sons Coal Co.,pontorero_sons_coal
"Tamburlin Bros. Coal Co., Inc.",tamburlin_bros_coal
Pontorero & Sons Coal Co.,pontorero_sons_coal
Genovese Coal Co.,genovese_coal
Genovese Coal Co.,genovese_coal
